Date,Open,High,Low,Close
05/09/2022,"103.66","104.19","103.39","103.65"
05/06/2022,"103.56","104.06","103.19","103.66"
05/05/2022,"102.68","103.94","102.35","103.75"
05/04/2022,"103.46","103.62","102.46","102.59"
05/03/2022,"103.60","103.67","103.03","103.47"
05/02/2022,"103.18","103.75","103.11","103.74"
04/29/2022,"103.67","103.67","102.82","102.96"
04/28/2022,"103.04","103.93","102.98","103.62"
04/27/2022,"102.28","103.28","102.22","102.95"
04/26/2022,"101.73","101.75","101.73","101.75"
04/25/2022,"101.07","101.86","101.04","101.75"
04/22/2022,"100.62","101.33","100.47","101.22"
04/21/2022,"100.35","100.64","99.82","100.58"
04/20/2022,"100.98","101.04","100.22","100.39"
04/19/2022,"100.83","101.03","100.70","100.96"
04/18/2022,"100.50","100.86","100.46","100.78"
04/15/2022,"100.42","100.57","100.40","100.50"
04/14/2022,"99.79","100.76","99.57","100.32"
04/13/2022,"100.34","100.52","99.83","99.88"
04/12/2022,"100.04","100.33","99.74","100.29"
04/11/2022,"99.84","100.05","99.62","99.93"
04/08/2022,"99.82","100.19","99.74","99.80"
04/07/2022,"99.65","99.83","99.40","99.75"
04/06/2022,"99.47","99.77","99.31","99.60"
04/05/2022,"99.00","99.52","98.84","99.47"
04/04/2022,"98.57","99.08","98.52","99.00"
04/01/2022,"98.34","98.74","98.31","98.63"
03/31/2022,"97.83","98.40","97.69","98.31"
03/30/2022,"98.37","98.43","97.69","97.79"
03/29/2022,"99.08","99.30","98.04","98.40"
03/28/2022,"98.80","99.37","98.80","99.09"
03/25/2022,"98.75","98.83","98.40","98.79"
03/24/2022,"98.64","98.96","98.60","98.79"
03/23/2022,"98.48","98.88","98.39","98.62"
03/22/2022,"98.49","98.97","98.32","98.49"
03/21/2022,"98.24","98.53","98.16","98.50"
03/18/2022,"98.00","98.62","97.84","98.23"
03/17/2022,"98.50","98.51","97.73","97.97"
03/16/2022,"98.89","99.08","98.30","98.62"
03/15/2022,"99.13","99.20","98.64","99.10"
03/14/2022,"99.09","99.29","98.68","99.00"
03/11/2022,"98.36","99.16","98.27","99.12"
03/10/2022,"98.06","98.60","97.71","98.51"
03/09/2022,"99.12","99.11","97.85","97.97"
03/08/2022,"99.24","99.32","98.71","99.06"
03/07/2022,"98.57","99.42","98.57","99.29"
03/04/2022,"98.04","98.92","97.84","98.65"
03/03/2022,"97.47","97.95","97.43","97.79"
03/02/2022,"97.37","97.83","97.29","97.39"
03/01/2022,"96.77","97.58","96.63","97.41"
02/28/2022,"97.25","97.42","96.61","96.71"
02/25/2022,"97.00","97.22","96.52","96.62"
02/24/2022,"96.22","97.74","96.28","97.14"
02/23/2022,"96.04","96.24","95.85","96.19"
02/22/2022,"96.08","96.26","95.84","96.03"
02/21/2022,"96.11","96.15","95.69","96.12"
02/18/2022,"95.83","96.17","95.73","96.04"
02/17/2022,"95.77","96.11","95.71","95.80"
02/16/2022,"96.01","96.06","95.68","95.70"
02/15/2022,"96.24","96.29","95.96","95.99"
02/14/2022,"96.05","96.44","95.91","96.37"
02/11/2022,"95.94","96.11","95.64","96.08"
02/10/2022,"95.57","96.00","95.17","95.55"
02/09/2022,"95.59","95.67","95.38","95.49"
02/08/2022,"95.43","95.75","95.40","95.64"
02/07/2022,"95.44","95.63","95.35","95.40"
02/04/2022,"95.31","95.70","95.14","95.49"
02/03/2022,"96.02","96.25","95.24","95.38"
02/02/2022,"96.27","96.30","95.81","95.94"
02/01/2022,"96.70","96.72","96.24","96.39"
01/31/2022,"97.25","97.30","96.52","96.54"
01/28/2022,"97.25","97.44","97.06","97.27"
01/27/2022,"96.55","97.29","96.53","97.26"
01/26/2022,"95.96","96.54","95.91","95.95"
01/25/2022,"95.93","96.27","95.90","95.95"
01/24/2022,"95.64","96.13","95.63","95.92"
01/21/2022,"95.81","95.84","95.50","95.64"
01/20/2022,"95.59","95.86","95.42","95.74"
01/19/2022,"95.77","95.79","95.49","95.51"
01/18/2022,"95.22","95.83","95.13","95.73"
01/17/2022,"95.15","95.35","95.04","95.26"
01/14/2022,"94.87","95.27","94.63","95.17"
01/13/2022,"94.99","95.02","94.66","94.79"
01/12/2022,"95.58","95.69","94.91","94.92"
