<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	1282.18	1288.70	1278.62	1284.31	278342	0	0
2019.01.02	04:00:00	1282.19	1286.43	1281.98	1286.20	29423	14711500	20
2019.01.02	08:00:00	1286.20	1288.70	1284.54	1287.01	97831	48915500	20
2019.01.02	12:00:00	1287.01	1287.85	1283.23	1284.22	100803	50401500	20
2019.01.02	16:00:00	1284.22	1287.64	1282.12	1284.01	139834	69917000	20
2019.01.02	20:00:00	1284.01	1284.88	1278.61	1284.31	68001	34000500	20
2019.01.03	00:00:00	1284.19	1294.90	1284.19	1288.26	444875	29437000	0
2019.01.03	04:00:00	1288.26	1290.21	1287.51	1289.96	61645	30822500	20
2019.01.03	08:00:00	1289.96	1292.28	1287.26	1288.07	108246	54123000	20
2019.01.03	12:00:00	1288.07	1290.04	1284.53	1287.68	108477	54238500	20
2019.01.03	16:00:00	1287.68	1291.29	1286.76	1290.35	168950	84475000	20
2019.01.03	20:00:00	1290.35	1294.88	1290.03	1293.96	80395	40197500	20
2019.01.04	00:00:00	1294.05	1298.48	1276.60	1296.92	493071	62938000	0
2019.01.04	04:00:00	1296.92	1298.02	1293.90	1295.43	137922	68961000	20
2019.01.04	08:00:00	1295.43	1295.73	1289.34	1289.98	194351	97175500	20
2019.01.04	12:00:00	1289.98	1292.07	1285.80	1287.67	213162	106581000	20
2019.01.04	16:00:00	1287.69	1287.75	1276.61	1284.30	360511	180255500	20
2019.01.04	20:00:00	1284.30	1285.78	1283.21	1284.67	149265	74632500	20
2019.01.07	00:00:00	1285.25	1295.01	1282.56	1288.82	361300	26202500	0
2019.01.07	04:00:00	1288.80	1291.66	1288.12	1291.40	60669	30334500	20
2019.01.07	08:00:00	1291.40	1292.35	1288.64	1291.30	96288	48144000	20
2019.01.07	12:00:00	1291.30	1295.01	1290.44	1292.30	87378	43689000	20
2019.01.07	16:00:00	1292.30	1293.00	1286.12	1288.20	135020	67510000	20
2019.01.07	20:00:00	1288.20	1289.06	1286.70	1288.91	58113	29056500	20
2019.01.08	00:00:00	1288.60	1290.17	1279.30	1286.21	346649	23611500	0
2019.01.08	04:00:00	1286.21	1287.05	1281.72	1282.96	70600	35300000	20
2019.01.08	08:00:00	1282.96	1284.71	1281.60	1283.40	88382	44191000	20
2019.01.08	12:00:00	1283.40	1284.03	1279.30	1280.63	92435	46217500	20
2019.01.08	16:00:00	1280.62	1286.93	1280.34	1286.34	129053	64526500	20
2019.01.08	20:00:00	1286.34	1286.83	1284.11	1285.03	53057	26528500	20
2019.01.09	00:00:00	1284.86	1293.81	1280.04	1285.73	336475	19861500	0
2019.01.09	04:00:00	1285.75	1286.09	1281.50	1282.49	61494	30747000	20
2019.01.09	08:00:00	1282.49	1283.57	1280.57	1281.07	77979	38989500	20
2019.01.09	12:00:00	1281.06	1285.45	1280.04	1284.57	79090	39545000	20
2019.01.09	16:00:00	1284.59	1291.72	1284.30	1289.77	150592	75296000	20
2019.01.09	20:00:00	1289.77	1293.81	1289.46	1292.86	84243	42121500	20
2019.01.10	00:00:00	1293.70	1297.01	1286.01	1292.54	403150	53782500	0
2019.01.10	04:00:00	1292.54	1297.01	1292.52	1296.22	145936	72968000	20
2019.01.10	08:00:00	1296.24	1296.94	1291.88	1292.93	156288	78144000	20
2019.01.10	12:00:00	1292.93	1294.56	1289.65	1289.77	165644	82822000	20
2019.01.10	16:00:00	1289.77	1292.30	1287.48	1287.88	261833	130916500	20
2019.01.10	20:00:00	1287.90	1288.69	1286.01	1286.17	130770	65385000	20
2019.01.11	00:00:00	1286.66	1295.08	1286.45	1289.78	419870	66882500	0
2019.01.11	04:00:00	1289.77	1294.24	1289.28	1293.89	184113	92056500	20
2019.01.11	08:00:00	1293.91	1295.08	1291.64	1292.21	268803	134401500	20
2019.01.11	12:00:00	1292.19	1293.54	1291.09	1292.32	280059	140029500	20
2019.01.11	16:00:00	1292.34	1292.45	1286.92	1290.08	396596	198298000	20
2019.01.11	20:00:00	1290.08	1290.25	1287.00	1287.50	129525	64762500	20
2019.01.14	00:00:00	1287.25	1295.80	1287.05	1292.27	293704	18280000	0
2019.01.14	04:00:00	1292.27	1292.47	1290.13	1291.76	47606	23803000	20
2019.01.14	08:00:00	1291.76	1294.52	1290.19	1293.68	83273	41636500	20
2019.01.14	12:00:00	1293.68	1295.80	1288.39	1289.77	100479	50239500	20
2019.01.14	16:00:00	1289.77	1293.07	1289.28	1291.67	114483	57241500	20
2019.01.14	20:00:00	1291.65	1292.30	1290.62	1291.26	43116	21558000	20
2019.01.15	00:00:00	1291.87	1294.65	1286.67	1292.96	344510	20199000	0
2019.01.15	04:00:00	1292.96	1293.33	1290.10	1291.24	57158	28579000	20
2019.01.15	08:00:00	1291.22	1291.24	1287.49	1288.67	85935	42967500	20
2019.01.15	12:00:00	1288.67	1293.28	1288.15	1292.96	96394	48197000	20
2019.01.15	16:00:00	1292.94	1294.65	1286.69	1287.93	143757	71878500	20
2019.01.15	20:00:00	1287.93	1290.78	1287.03	1289.08	75105	37552500	20
2019.01.16	00:00:00	1289.35	1294.96	1287.83	1289.10	274622	17178500	0
2019.01.16	04:00:00	1289.11	1291.90	1288.27	1291.58	48333	24166500	20
2019.01.16	08:00:00	1291.60	1292.68	1289.32	1289.80	78106	39053000	20
2019.01.16	12:00:00	1289.78	1290.79	1287.83	1290.11	75179	37589500	20
2019.01.16	16:00:00	1290.11	1294.94	1290.10	1293.74	109388	54694000	20
2019.01.16	20:00:00	1293.72	1294.05	1292.15	1293.23	52544	26272000	20
2019.01.17	00:00:00	1293.90	1295.29	1288.67	1294.71	279037	16066000	0
2019.01.17	04:00:00	1294.71	1295.29	1291.28	1292.60	48800	24400000	20
2019.01.17	08:00:00	1292.60	1294.92	1291.24	1294.05	72030	36015000	20
2019.01.17	12:00:00	1294.05	1294.93	1289.58	1291.48	77477	38738500	20
2019.01.17	16:00:00	1291.50	1292.41	1288.67	1291.92	110402	55201000	20
2019.01.17	20:00:00	1291.93	1293.21	1289.47	1291.78	66429	33214500	20
2019.01.18	00:00:00	1292.10	1292.45	1280.56	1290.77	265993	15988000	0
2019.01.18	04:00:00	1290.77	1292.33	1290.26	1291.06	36169	18084500	20
2019.01.18	08:00:00	1291.08	1292.17	1283.60	1285.04	74847	37423500	20
2019.01.18	12:00:00	1285.04	1286.42	1281.17	1283.18	79599	39799500	20
2019.01.18	16:00:00	1283.19	1285.33	1281.73	1282.43	117691	58845500	20
2019.01.18	20:00:00	1282.43	1283.44	1280.56	1281.49	46109	23054500	20
2019.01.21	00:00:00	1281.44	1283.46	1276.71	1282.79	149560	14804500	0
2019.01.21	04:00:00	1282.79	1283.16	1281.00	1281.44	35116	17558000	20
2019.01.21	08:00:00	1281.44	1283.42	1277.59	1278.38	59358	29679000	20
2019.01.21	12:00:00	1278.38	1279.36	1276.73	1278.97	46579	23289500	20
2019.01.21	16:00:00	1278.97	1280.96	1278.19	1280.09	39618	19809000	20
2019.01.22	00:00:00	1279.53	1285.40	1277.36	1278.83	213524	11039000	0
2019.01.22	04:00:00	1278.83	1279.77	1277.36	1279.15	43136	21568000	20
2019.01.22	08:00:00	1279.13	1284.80	1278.18	1284.01	71422	35711000	20
2019.01.22	12:00:00	1284.01	1284.63	1281.53	1282.80	59709	29854500	20
2019.01.22	16:00:00	1282.78	1284.24	1279.23	1283.51	91378	45689000	20
2019.01.22	20:00:00	1283.53	1285.40	1283.32	1284.73	39802	19901000	20
2019.01.23	00:00:00	1284.93	1286.45	1278.57	1284.91	147324	8965000	0
2019.01.23	04:00:00	1284.91	1285.26	1283.22	1283.99	22771	11385500	20
2019.01.23	08:00:00	1284.00	1286.45	1283.39	1285.02	34188	17094000	20
2019.01.23	12:00:00	1285.03	1285.68	1280.53	1280.78	38728	19364000	20
2019.01.23	16:00:00	1280.78	1285.79	1278.57	1284.65	74731	37365500	20
2019.01.23	20:00:00	1284.65	1284.81	1282.21	1282.30	26185	13092500	20
2019.01.24	00:00:00	1282.58	1284.72	1276.62	1284.39	156599	7236000	0
2019.01.24	04:00:00	1284.39	1284.42	1280.98	1281.67	20817	10408500	20
2019.01.24	08:00:00	1281.67	1282.36	1278.24	1279.69	42907	21453500	20
2019.01.24	12:00:00	1279.69	1281.49	1276.62	1280.33	53099	26549500	20
2019.01.24	16:00:00	1280.35	1283.83	1279.58	1280.18	81324	40662000	20
2019.01.24	20:00:00	1280.16	1281.30	1279.28	1280.71	28313	14156500	20
2019.01.25	00:00:00	1280.62	1303.89	1279.86	1279.91	171171	9403000	0
2019.01.25	04:00:00	1279.91	1283.03	1279.88	1282.24	24052	12026000	20
2019.01.25	08:00:00	1282.24	1285.08	1281.75	1283.26	39897	19948500	20
2019.01.25	12:00:00	1283.26	1289.42	1282.58	1288.53	41219	20609500	20
2019.01.25	16:00:00	1288.53	1300.28	1288.53	1297.56	87237	43618500	20
2019.01.25	20:00:00	1297.56	1303.93	1296.95	1303.23	40590	20295000	20
2019.01.28	00:00:00	1301.17	1304.33	1297.58	1301.57	158647	11877500	0
2019.01.28	04:00:00	1301.55	1304.33	1301.37	1302.32	24220	12110000	20
2019.01.28	08:00:00	1302.32	1302.80	1300.25	1300.54	35872	17936000	20
2019.01.28	12:00:00	1300.52	1302.34	1298.98	1299.42	36328	18164000	20
2019.01.28	16:00:00	1299.42	1303.85	1297.58	1303.19	69154	34577000	20
2019.01.28	20:00:00	1303.19	1304.14	1302.10	1302.86	27948	13974000	20
2019.01.29	00:00:00	1303.10	1311.93	1302.62	1303.18	167415	9328500	0
2019.01.29	04:00:00	1303.18	1304.43	1302.85	1304.05	21714	10857000	20
2019.01.29	08:00:00	1304.05	1309.29	1303.93	1308.24	47958	23979000	20
2019.01.29	12:00:00	1308.24	1311.38	1306.73	1308.06	52246	26123000	20
2019.01.29	16:00:00	1308.06	1311.65	1306.09	1309.76	73835	36917500	20
2019.01.29	20:00:00	1309.76	1311.93	1309.02	1311.16	37424	18712000	20
2019.01.30	00:00:00	1311.09	1323.24	1308.91	1313.74	192286	10645500	0
2019.01.30	04:00:00	1313.74	1315.28	1312.53	1315.08	26745	13372500	20
2019.01.30	08:00:00	1315.09	1315.86	1312.84	1313.63	50296	25148000	20
2019.01.30	12:00:00	1313.63	1314.26	1310.26	1311.22	48924	24462000	20
2019.01.30	16:00:00	1311.20	1312.30	1309.35	1311.06	59367	29683500	20
2019.01.30	20:00:00	1311.04	1323.24	1308.92	1319.21	73496	36748000	20
2019.01.31	00:00:00	1319.58	1326.23	1317.36	1318.15	186339	10693000	0
2019.01.31	04:00:00	1318.15	1321.04	1317.79	1319.86	23479	11739500	20
2019.01.31	08:00:00	1319.86	1321.96	1318.49	1320.62	51278	25639000	20
2019.01.31	12:00:00	1320.62	1326.23	1320.53	1325.28	57072	28536000	20
2019.01.31	16:00:00	1325.28	1325.33	1319.76	1321.91	77591	38795500	20
2019.01.31	20:00:00	1321.93	1322.36	1318.65	1321.58	37825	18912500	20
2019.02.01	00:00:00	1320.91	1323.48	1316.04	1318.23	172043	10762000	0
2019.02.01	04:00:00	1318.29	1319.06	1317.35	1317.78	25936	12968000	20
2019.02.01	08:00:00	1317.80	1319.74	1316.57	1319.25	40880	20440000	20
2019.02.01	12:00:00	1319.25	1323.48	1317.26	1319.89	53957	26978500	20
2019.02.01	16:00:00	1319.89	1323.30	1316.04	1317.48	77728	38864000	20
2019.02.01	20:00:00	1317.48	1319.37	1316.62	1317.51	29554	14777000	20
2019.02.04	00:00:00	1317.90	1318.94	1308.53	1314.95	138533	8703500	0
2019.02.04	04:00:00	1314.97	1315.52	1312.20	1312.71	21095	10547500	20
2019.02.04	08:00:00	1312.76	1313.63	1310.32	1311.01	36641	18320500	20
2019.02.04	12:00:00	1311.01	1312.35	1309.73	1311.76	37995	18997500	20
2019.02.04	16:00:00	1311.76	1315.10	1308.54	1314.35	63476	31738000	20
2019.02.04	20:00:00	1314.39	1315.22	1311.50	1311.65	24509	12254500	20
2019.02.05	00:00:00	1311.66	1316.81	1310.62	1312.78	138432	7236500	0
2019.02.05	04:00:00	1312.76	1315.29	1312.45	1315.06	18808	9404000	20
2019.02.05	08:00:00	1315.06	1315.12	1310.62	1311.31	34338	17169000	20
2019.02.05	12:00:00	1311.31	1316.81	1310.73	1314.47	49622	24811000	20
2019.02.05	16:00:00	1314.47	1316.59	1312.55	1314.81	60316	30158000	20
2019.02.05	20:00:00	1314.81	1315.38	1313.89	1314.83	25971	12985500	20
2019.02.06	00:00:00	1314.98	1315.75	1305.56	1313.34	130797	7255000	0
2019.02.06	04:00:00	1313.34	1315.57	1312.65	1313.98	21152	10576000	21
2019.02.06	08:00:00	1314.00	1315.58	1312.83	1313.77	33886	16943000	20
2019.02.06	12:00:00	1313.78	1314.82	1311.48	1313.52	35884	17942000	20
2019.02.06	16:00:00	1313.52	1315.11	1311.54	1312.35	52186	26093000	20
2019.02.06	20:00:00	1312.35	1312.40	1305.56	1306.06	39498	19749000	20
2019.02.07	00:00:00	1306.44	1311.89	1302.69	1303.83	152920	8555500	0
2019.02.07	04:00:00	1303.85	1305.00	1302.71	1303.92	18383	9191500	20
2019.02.07	08:00:00	1303.94	1306.52	1303.16	1305.90	32584	16292000	20
2019.02.07	12:00:00	1305.88	1310.23	1305.43	1309.07	47352	23676000	20
2019.02.07	16:00:00	1309.07	1311.88	1306.19	1310.76	70432	35216000	20
2019.02.07	20:00:00	1310.74	1311.40	1309.52	1309.65	33141	16570500	20
2019.02.08	00:00:00	1309.64	1315.58	1307.68	1309.72	128108	7527500	0
2019.02.08	04:00:00	1309.72	1310.14	1308.22	1309.54	16198	8099000	21
2019.02.08	08:00:00	1309.54	1310.16	1307.68	1309.17	34020	17010000	20
2019.02.08	12:00:00	1309.17	1315.01	1309.07	1314.66	41118	20559000	20
2019.02.08	16:00:00	1314.64	1315.37	1311.93	1314.80	54910	27455000	20
2019.02.08	20:00:00	1314.75	1315.58	1313.45	1314.13	24777	12388500	20
2019.02.11	00:00:00	1314.07	1314.78	1303.58	1313.72	140664	7327000	0
2019.02.11	04:00:00	1313.71	1313.87	1310.47	1310.80	17188	8594000	20
2019.02.11	08:00:00	1310.78	1312.26	1306.70	1306.80	36160	18080000	20
2019.02.11	12:00:00	1306.80	1308.09	1304.63	1304.84	46873	23436500	20
2019.02.11	16:00:00	1304.84	1310.32	1303.58	1307.25	58543	29271500	20
2019.02.11	20:00:00	1307.25	1308.99	1306.97	1307.67	24179	12089500	20
2019.02.12	00:00:00	1308.04	1314.62	1306.41	1307.83	137035	8707000	0
2019.02.12	04:00:00	1307.83	1309.30	1307.17	1308.71	21120	10560000	20
2019.02.12	08:00:00	1308.71	1313.83	1308.68	1312.35	40345	20172500	20
2019.02.12	12:00:00	1312.35	1314.61	1311.46	1311.78	37750	18875000	20
2019.02.12	16:00:00	1311.78	1312.36	1308.21	1310.35	52793	26396500	20
2019.02.12	20:00:00	1310.35	1312.64	1310.17	1310.45	25592	12796000	20
2019.02.13	00:00:00	1310.45	1318.09	1304.97	1311.71	152116	9883000	0
2019.02.13	04:00:00	1311.71	1313.55	1311.57	1313.43	19535	9767500	20
2019.02.13	08:00:00	1313.43	1314.16	1311.35	1312.48	29328	14664000	20
2019.02.13	12:00:00	1312.48	1312.48	1308.09	1310.49	43256	21628000	20
