<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.10	20:30:00	1836.11	1836.84	1834.72	1835.76	16159	8079500	22
2022.02.10	20:45:00	1835.76	1835.95	1834.52	1835.24	15399	7699500	22
2022.02.10	21:00:00	1835.24	1835.76	1833.27	1833.43	15008	7504000	22
2022.02.10	21:15:00	1833.43	1833.70	1831.73	1832.36	15840	7920000	22
2022.02.10	21:30:00	1832.36	1832.92	1830.08	1830.12	14879	7439500	22
2022.02.10	21:45:00	1830.12	1830.90	1828.72	1829.61	15371	7685500	22
2022.02.10	22:00:00	1829.61	1829.85	1828.19	1829.46	15520	7760000	22
2022.02.10	22:15:00	1829.46	1830.19	1828.86	1828.95	14577	7288500	22
2022.02.10	22:30:00	1828.95	1829.76	1826.63	1826.94	14637	7318500	25
2022.02.10	22:45:00	1826.94	1827.53	1826.47	1827.11	12183	6091500	25
2022.02.10	23:00:00	1827.12	1827.52	1826.50	1826.78	7083	3541500	25
2022.02.10	23:15:00	1826.80	1826.82	1825.50	1825.99	4922	2461000	25
2022.02.10	23:30:00	1825.99	1827.06	1825.78	1826.80	3889	1944500	25
2022.02.10	23:45:00	1826.80	1827.41	1826.26	1826.51	3288	1644000	25
2022.02.11	00:00:00	1826.19	1865.30	1820.77	1858.44	443364	0	0
2022.02.11	01:00:00	1826.23	1827.85	1826.23	1827.32	3545	1772500	25
2022.02.11	01:15:00	1827.30	1827.62	1826.32	1826.57	3442	1721000	25
2022.02.11	01:30:00	1826.57	1827.37	1826.13	1827.36	3023	1511500	25
2022.02.11	01:45:00	1827.36	1827.58	1826.69	1826.73	2302	1151000	25
2022.02.11	02:00:00	1826.73	1827.06	1826.29	1826.55	3551	1775500	25
2022.02.11	02:15:00	1826.55	1826.59	1824.63	1824.87	4756	2378000	25
2022.02.11	02:30:00	1824.87	1825.62	1824.73	1825.16	3561	1780500	25
2022.02.11	02:45:00	1825.16	1826.00	1824.94	1825.99	3963	1981500	25
2022.02.11	03:00:00	1825.99	1825.99	1823.98	1824.04	11120	5560000	25
2022.02.11	03:15:00	1824.04	1825.56	1823.81	1823.82	10678	5339000	25
2022.02.11	03:30:00	1823.85	1825.90	1823.66	1825.62	11303	5651500	25
2022.02.11	03:45:00	1825.63	1825.98	1825.06	1825.61	9191	4595500	25
2022.02.11	04:00:00	1825.61	1825.86	1824.80	1825.27	9676	4838000	25
2022.02.11	04:15:00	1825.27	1825.79	1825.26	1825.53	7907	3953500	25
2022.02.11	04:30:00	1825.53	1826.54	1825.22	1826.05	9295	4647500	25
2022.02.11	04:45:00	1826.05	1826.89	1825.93	1826.67	9563	4781500	25
2022.02.11	05:00:00	1826.67	1826.67	1825.53	1825.89	8976	4488000	25
2022.02.11	05:15:00	1825.89	1826.13	1825.45	1825.76	7603	3801500	25
2022.02.11	05:30:00	1825.76	1825.89	1825.01	1825.20	6480	3240000	22
2022.02.11	05:45:00	1825.20	1825.54	1824.83	1824.88	7988	3994000	22
2022.02.11	06:00:00	1824.88	1824.94	1823.89	1823.98	7200	3600000	22
2022.02.11	06:15:00	1823.98	1823.99	1823.15	1823.17	8517	4258500	22
2022.02.11	06:30:00	1823.17	1825.10	1823.01	1824.75	8398	4199000	22
2022.02.11	06:45:00	1824.75	1824.79	1823.03	1824.12	8236	4118000	22
2022.02.11	07:00:00	1824.12	1825.01	1823.86	1825.01	7877	3938500	22
2022.02.11	07:15:00	1825.01	1825.31	1824.46	1825.02	7319	3659500	22
2022.02.11	07:30:00	1825.02	1825.06	1823.67	1823.91	10575	5287500	22
2022.02.11	07:45:00	1823.91	1824.51	1823.69	1824.45	9248	4624000	22
2022.02.11	08:00:00	1824.45	1824.55	1823.50	1823.92	11131	5565500	22
2022.02.11	08:15:00	1823.92	1824.16	1822.42	1822.98	9783	4891500	22
2022.02.11	08:30:00	1822.98	1823.66	1821.88	1822.34	11509	5754500	22
2022.02.11	08:45:00	1822.36	1823.19	1822.05	1822.86	10805	5402500	22
2022.02.11	09:00:00	1822.86	1823.76	1821.75	1823.46	12447	6223500	22
2022.02.11	09:15:00	1823.46	1823.96	1820.77	1823.74	12139	6069500	22
2022.02.11	09:30:00	1823.74	1824.52	1823.31	1824.51	11616	5808000	22
2022.02.11	09:45:00	1824.51	1826.11	1824.08	1826.09	11444	5722000	22
2022.02.11	10:00:00	1826.09	1827.55	1825.18	1826.77	15415	7707500	22
2022.02.11	10:15:00	1826.77	1827.17	1825.84	1826.57	14395	7197500	22
2022.02.11	10:30:00	1826.57	1827.10	1825.86	1825.88	14413	7206500	22
2022.02.11	10:45:00	1825.88	1827.54	1825.86	1826.44	13106	6553000	22
2022.02.11	11:00:00	1826.44	1827.23	1826.37	1826.78	12954	6477000	22
2022.02.11	11:15:00	1826.79	1827.20	1826.29	1826.76	12501	6250500	22
2022.02.11	11:30:00	1826.77	1827.06	1825.09	1825.56	12149	6074500	22
2022.02.11	11:45:00	1825.56	1826.52	1825.32	1825.92	11657	5828500	22
2022.02.11	12:00:00	1825.92	1826.10	1825.08	1825.77	11354	5677000	22
2022.02.11	12:15:00	1825.77	1826.64	1825.63	1825.98	10207	5103500	22
2022.02.11	12:30:00	1825.98	1827.74	1825.98	1827.03	10875	5437500	22
2022.02.11	12:45:00	1827.03	1827.34	1825.91	1826.00	10840	5420000	22
2022.02.11	13:00:00	1826.00	1826.22	1825.16	1825.36	11118	5559000	22
2022.02.11	13:15:00	1825.36	1826.55	1825.36	1826.14	10288	5144000	22
2022.02.11	13:30:00	1826.14	1826.76	1825.65	1826.42	10777	5388500	22
2022.02.11	13:45:00	1826.42	1827.56	1826.35	1827.17	11490	5745000	22
2022.02.11	14:00:00	1827.17	1828.13	1825.59	1828.04	13361	6680500	22
2022.02.11	14:15:00	1828.04	1831.33	1827.89	1831.21	13982	6991000	22
2022.02.11	14:30:00	1831.21	1831.55	1829.44	1829.88	13693	6846500	22
2022.02.11	14:45:00	1829.88	1830.91	1829.36	1830.37	12476	6238000	22
2022.02.11	15:00:00	1830.37	1833.24	1830.37	1833.11	15223	7611500	22
2022.02.11	15:15:00	1833.11	1833.27	1827.65	1828.67	15482	7741000	22
2022.02.11	15:30:00	1828.67	1828.76	1826.40	1826.49	15449	7724500	22
2022.02.11	15:45:00	1826.49	1828.72	1824.85	1827.24	15424	7712000	22
2022.02.11	16:00:00	1827.24	1828.96	1827.09	1827.63	15110	7555000	22
2022.02.11	16:15:00	1827.63	1830.37	1827.57	1828.67	14210	7105000	22
2022.02.11	16:30:00	1828.68	1830.78	1828.16	1830.13	17118	8559000	22
2022.02.11	16:45:00	1830.12	1832.38	1829.49	1829.60	17093	8546500	22
2022.02.11	17:00:00	1829.63	1833.22	1829.53	1833.04	17170	8585000	22
2022.02.11	17:15:00	1833.07	1836.66	1833.03	1836.56	17197	8598500	22
2022.02.11	17:30:00	1836.56	1837.13	1834.66	1834.89	16702	8351000	22
2022.02.11	17:45:00	1834.89	1836.67	1834.28	1835.85	16323	8161500	22
2022.02.11	18:00:00	1835.85	1836.31	1832.85	1833.08	16052	8026000	22
2022.02.11	18:15:00	1833.08	1835.08	1832.67	1833.67	16312	8156000	22
2022.02.11	18:30:00	1833.67	1834.63	1832.95	1833.94	15956	7978000	22
2022.02.11	18:45:00	1833.94	1836.98	1833.70	1836.66	15515	7757500	22
2022.02.11	19:00:00	1836.66	1840.36	1836.46	1839.70	15612	7806000	22
2022.02.11	19:15:00	1839.70	1840.83	1838.54	1840.83	14645	7322500	22
2022.02.11	19:30:00	1840.83	1840.86	1839.49	1840.52	14380	7190000	22
2022.02.11	19:45:00	1840.52	1840.64	1839.78	1840.50	14383	7191500	22
2022.02.11	20:00:00	1840.50	1841.09	1839.53	1840.13	13487	6743500	22
2022.02.11	20:15:00	1840.14	1840.78	1839.31	1840.51	14011	7005500	22
2022.02.11	20:30:00	1840.51	1850.86	1840.07	1850.05	17351	8675500	22
2022.02.11	20:45:00	1850.05	1860.27	1849.48	1857.10	17629	8814500	30
2022.02.11	21:00:00	1857.12	1862.09	1854.80	1854.95	17640	8820000	30
2022.02.11	21:15:00	1854.90	1858.48	1851.37	1857.95	17561	8780500	22
2022.02.11	21:30:00	1857.95	1859.60	1856.35	1858.67	17236	8618000	22
2022.02.11	21:45:00	1858.67	1862.12	1858.17	1858.86	16922	8461000	22
2022.02.11	22:00:00	1858.94	1862.72	1857.46	1862.01	17027	8513500	22
2022.02.11	22:15:00	1862.09	1865.30	1861.47	1862.48	16666	8333000	22
2022.02.11	22:30:00	1862.47	1862.94	1861.09	1862.06	16266	8133000	25
2022.02.11	22:45:00	1862.06	1863.24	1860.21	1861.12	14479	7239500	25
2022.02.11	23:00:00	1861.15	1862.47	1859.87	1862.47	8503	4251500	25
2022.02.11	23:15:00	1862.47	1863.57	1862.42	1862.61	5442	2721000	26
2022.02.11	23:30:00	1862.61	1862.91	1860.03	1860.96	2453	1226500	25
2022.02.11	23:45:00	1860.96	1861.52	1857.34	1858.44	4260	2130000	25
2022.02.14	00:00:00	1861.74	1874.06	1850.73	1870.83	356386	0	0
2022.02.14	01:00:00	1861.79	1861.98	1855.19	1860.53	7131	3565500	25
2022.02.14	01:15:00	1860.53	1861.47	1859.44	1859.86	3735	1867500	25
2022.02.14	01:30:00	1859.86	1860.30	1857.82	1858.10	3248	1624000	25
2022.02.14	01:45:00	1858.10	1859.66	1857.48	1859.46	4679	2339500	25
2022.02.14	02:00:00	1859.46	1860.01	1858.33	1859.13	4494	2247000	25
2022.02.14	02:15:00	1859.13	1860.58	1858.13	1858.78	4949	2474500	25
2022.02.14	02:30:00	1858.78	1860.29	1858.46	1859.96	4399	2199500	25
2022.02.14	02:45:00	1859.98	1860.07	1857.60	1857.81	4574	2287000	25
2022.02.14	03:00:00	1857.81	1860.10	1856.89	1857.20	11439	5719500	25
2022.02.14	03:15:00	1857.20	1859.20	1857.03	1858.22	10049	5024500	25
2022.02.14	03:30:00	1858.22	1859.67	1858.14	1858.66	9613	4806500	25
2022.02.14	03:45:00	1858.66	1859.53	1857.76	1859.44	11753	5876500	25
2022.02.14	04:00:00	1859.44	1859.52	1857.59	1857.81	10502	5251000	25
2022.02.14	04:15:00	1857.81	1858.30	1857.57	1858.06	8296	4148000	25
2022.02.14	04:30:00	1858.06	1858.26	1854.26	1854.38	12458	6229000	25
2022.02.14	04:45:00	1854.38	1854.70	1853.81	1854.68	11264	5632000	25
2022.02.14	05:00:00	1854.68	1854.76	1852.33	1852.42	11244	5622000	25
2022.02.14	05:15:00	1852.42	1853.68	1852.11	1853.21	10292	5146000	25
2022.02.14	05:30:00	1853.21	1854.01	1852.69	1852.93	8786	4393000	22
2022.02.14	05:45:00	1852.93	1853.94	1852.93	1853.00	7968	3984000	22
2022.02.14	06:00:00	1853.00	1853.33	1851.40	1851.64	7376	3688000	22
2022.02.14	06:15:00	1851.67	1852.98	1851.41	1852.62	6925	3462500	22
2022.02.14	06:30:00	1852.62	1853.53	1852.16	1852.82	6340	3170000	22
2022.02.14	06:45:00	1852.82	1852.92	1851.53	1851.80	5868	2934000	22
2022.02.14	07:00:00	1851.81	1853.56	1851.50	1853.49	7416	3708000	22
2022.02.14	07:15:00	1853.49	1854.06	1852.84	1853.66	6772	3386000	22
2022.02.14	07:30:00	1853.66	1854.62	1853.11	1853.96	10413	5206500	22
2022.02.14	07:45:00	1853.96	1854.73	1853.88	1854.56	9449	4724500	22
2022.02.14	08:00:00	1854.57	1854.79	1853.02	1853.25	10299	5149500	22
2022.02.14	08:15:00	1853.25	1853.36	1852.47	1853.10	9122	4561000	22
2022.02.14	08:30:00	1853.10	1853.66	1852.22	1852.66	9772	4886000	22
2022.02.14	08:45:00	1852.66	1853.26	1851.51	1853.04	10605	5302500	22
2022.02.14	09:00:00	1853.04	1853.15	1850.73	1852.30	12166	6083000	22
2022.02.14	09:15:00	1852.30	1854.74	1852.06	1854.56	11008	5504000	22
2022.02.14	09:30:00	1854.56	1854.76	1853.00	1854.59	11675	5837500	22
2022.02.14	09:45:00	1854.59	1855.17	1853.93	1854.22	11964	5982000	22
2022.02.14	10:00:00	1854.22	1854.58	1852.08	1853.07	15848	7924000	22
2022.02.14	10:15:00	1853.07	1858.25	1853.05	1858.14	16249	8124500	22
2022.02.14	10:30:00	1858.14	1858.42	1855.51	1856.50	16252	8126000	22
