<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	15.358	15.600	15.348	15.500	54451	0	0
2019.01.02	06:00:00	15.358	15.376	15.348	15.376	3160	15800000	31
2019.01.02	07:00:00	15.376	15.421	15.367	15.417	6344	31720000	30
2019.01.02	08:00:00	15.417	15.443	15.412	15.416	6664	33320000	30
2019.01.02	09:00:00	15.416	15.443	15.411	15.436	8033	40165000	30
2019.01.02	10:00:00	15.436	15.507	15.407	15.492	15095	75475000	30
2019.01.02	11:00:00	15.492	15.492	15.459	15.460	10924	54620000	30
2019.01.02	12:00:00	15.462	15.481	15.452	15.452	6700	33500000	30
2019.01.02	13:00:00	15.453	15.467	15.418	15.425	7122	35610000	30
2019.01.02	14:00:00	15.425	15.447	15.406	15.415	8577	42885000	30
2019.01.02	15:00:00	15.415	15.438	15.365	15.376	15238	76190000	30
2019.01.02	16:00:00	15.376	15.448	15.362	15.445	15563	77815000	30
2019.01.02	17:00:00	15.445	15.564	15.438	15.539	19148	95740000	30
2019.01.02	18:00:00	15.539	15.600	15.481	15.524	13608	68040000	30
2019.01.02	19:00:00	15.523	15.579	15.507	15.557	10933	54665000	30
2019.01.02	20:00:00	15.557	15.582	15.421	15.449	11542	57710000	30
2019.01.02	21:00:00	15.449	15.491	15.427	15.490	7048	35240000	30
2019.01.02	22:00:00	15.491	15.504	15.474	15.503	5100	25500000	30
2019.01.02	23:00:00	15.503	15.507	15.492	15.500	2907	14535000	31
2019.01.03	00:00:00	15.512	15.737	15.472	15.715	70491	0	0
2019.01.03	01:00:00	15.505	15.575	15.472	15.476	6708	33540000	31
2019.01.03	02:00:00	15.476	15.512	15.475	15.505	5537	27685000	31
2019.01.03	03:00:00	15.505	15.574	15.505	15.568	9726	48630000	31
2019.01.03	04:00:00	15.569	15.581	15.546	15.548	6002	30010000	31
2019.01.03	05:00:00	15.548	15.552	15.532	15.541	3957	19785000	31
2019.01.03	06:00:00	15.541	15.569	15.539	15.561	2709	13545000	31
2019.01.03	07:00:00	15.561	15.574	15.534	15.573	5781	28905000	30
2019.01.03	08:00:00	15.573	15.601	15.545	15.596	6846	34230000	30
2019.01.03	09:00:00	15.596	15.602	15.561	15.570	9305	46525000	30
2019.01.03	10:00:00	15.570	15.597	15.550	15.576	13600	68000000	30
2019.01.03	11:00:00	15.576	15.581	15.554	15.570	9667	48335000	30
2019.01.03	12:00:00	15.570	15.583	15.540	15.577	8289	41445000	30
2019.01.03	13:00:00	15.576	15.579	15.520	15.553	7575	37875000	30
2019.01.03	14:00:00	15.552	15.576	15.527	15.570	7220	36100000	30
2019.01.03	15:00:00	15.569	15.652	15.536	15.631	16823	84115000	30
2019.01.03	16:00:00	15.631	15.658	15.620	15.636	14794	73970000	30
2019.01.03	17:00:00	15.629	15.673	15.578	15.625	24344	121720000	30
2019.01.03	18:00:00	15.627	15.660	15.613	15.658	16443	82215000	30
2019.01.03	19:00:00	15.657	15.698	15.654	15.693	10805	54025000	30
2019.01.03	20:00:00	15.693	15.731	15.656	15.673	10718	53590000	30
2019.01.03	21:00:00	15.673	15.721	15.658	15.715	7730	38650000	30
2019.01.03	22:00:00	15.713	15.737	15.708	15.720	8137	40685000	30
2019.01.03	23:00:00	15.720	15.727	15.706	15.715	2242	11210000	31
2019.01.04	00:00:00	15.706	15.861	15.571	15.688	61743	0	0
2019.01.04	01:00:00	15.707	15.731	15.707	15.729	4862	24310000	31
2019.01.04	02:00:00	15.729	15.761	15.728	15.758	7738	38690000	31
2019.01.04	03:00:00	15.759	15.861	15.753	15.802	20602	103010000	31
2019.01.04	04:00:00	15.801	15.835	15.801	15.803	10715	53575000	31
2019.01.04	05:00:00	15.803	15.807	15.783	15.798	9304	46520000	31
2019.01.04	06:00:00	15.798	15.817	15.781	15.787	5999	29995000	31
2019.01.04	07:00:00	15.787	15.812	15.769	15.771	8818	44090000	30
2019.01.04	08:00:00	15.770	15.785	15.746	15.754	8447	42235000	30
2019.01.04	09:00:00	15.753	15.764	15.699	15.716	16136	80680000	30
2019.01.04	10:00:00	15.716	15.774	15.676	15.679	20900	104500000	30
2019.01.04	11:00:00	15.679	15.722	15.655	15.669	20520	102600000	30
2019.01.04	12:00:00	15.669	15.696	15.662	15.685	15496	77480000	30
